Company,Role,Location,Salary Range,Status,Date Applied,Follow Up Date,Response,Interview Stage,Days To Response,Response Type,Cover Letter Used,What Worked,Tags,Notes,Career Page URL,Remote Policy,Remote Likelihood Score,Remote Evidence,Submission Lane,Submitted Resume Path,Submission Evidence Path,Submission Verified At
Owner.com,Software Engineer Mobile,Remote (US/Canada),$160k-$190k,Applied,2026-02-02,2026-02-09,,Initial,,,owner_custom,,remote;ai;react-native,React Native focus; 100% remote; pre-IPO equity,https://jobs.lever.co/owner/727a8b34-49d7-428f-8d27-5a326bcc716d,,,,,applications/owner-com/tailored_resumes/2026-03-09_owner-com_software-engineer-mobile.docx,,
Automattic,Mobile Engineer,100% Remote,$130k-$170k,Draft,,,,Initial,,,automattic_custom,,remote;mobile,"WordPress/Tumblr; 86% retention; paid trial
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submitted_resume_path,submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=3/70, remote=85/50; reasons=fit_score_below_threshold:3<70,missing_cover_letter,missing_resume_docx_or_pdf,missing_tailored_resume_html,unsupported_site_for_ci_submit).",https://automattic.com/work-with-us/,remote,85,remote_keyword,manual,,,
GitLab,Senior Software Engineer Mobile,100% Remote,$140k-$180k,Draft,,,,Initial,,,gitlab_custom,,remote;cicd;mobile,"All-remote; CI/CD focus; public handbook
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submitted_resume_path,submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=3/70, remote=88/50; reasons=fit_score_below_threshold:3<70,missing_cover_letter,missing_resume_docx_or_pdf,missing_tailored_resume_html,unsupported_site_for_ci_submit).",https://about.gitlab.com/jobs/,remote,88,remote_keyword;remote_us_scope,manual,,,
DockYard,React Native Developer,Remote,$120k-$160k,Draft,,,,Initial,,,standard_remote,,remote;react-native;consultancy,"Remote-first consultancy; variety of projects
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submitted_resume_path,submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=3/70, remote=85/50; reasons=fit_score_below_threshold:3<70,missing_cover_letter,missing_resume_docx_or_pdf,missing_tailored_resume_html,unsupported_site_for_ci_submit).",https://dockyard.com/careers,remote,85,remote_keyword,manual,,,
Deepgram,Software Engineer,Remote,$140k-$180k,Draft,,,,Initial,,,deepgram_custom,,remote;ai;voice,"Voice AI; remote-first; developer tools
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submitted_resume_path,submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=3/70, remote=85/50; reasons=fit_score_below_threshold:3<70,missing_cover_letter,missing_resume_docx_or_pdf,missing_tailored_resume_html,unsupported_site_for_ci_submit).",https://deepgram.com/careers,remote,85,remote_keyword,manual,,,
D-Wave Quantum,Software Engineer,Boca Raton FL,$120k-$160k,Draft,,,,Initial,,,dwave_custom,,local;quantum;boca-raton,"NEW HQ 2026; quantum computing; FAU partnership
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submitted_resume_path,submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=0/70, remote=45/50; reasons=fit_score_below_threshold:0<70,missing_cover_letter,missing_resume_docx_or_pdf,missing_tailored_resume_html,remote_likelihood_below_threshold:45<50,unsupported_site_for_ci_submit).",https://www.dwavesys.com/careers/,remote,85,remote_keyword,manual,,,
Numiro,AI Engineer,Miami FL (Remote-first),$130k-$170k,Draft,,,,Initial,,,numiro_custom,,local;ai;agents;miami,"AI agents for CPA firms; VC-funded
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submitted_resume_path,submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=3/70, remote=85/50; reasons=fit_score_below_threshold:3<70,missing_cover_letter,missing_resume_docx_or_pdf,missing_tailored_resume_html,unsupported_site_for_ci_submit).",https://wellfound.com/company/numiro,remote,85,remote_keyword,manual,,,
Modernizing Medicine,Software Engineer,Boca Raton FL,$110k-$150k,Draft,,,,Initial,,,modmed_custom,,local;healthcare;boca-raton,"1000+ employees; healthcare AI; IBM partnership
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submitted_resume_path,submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=0/70, remote=45/50; reasons=fit_score_below_threshold:0<70,missing_cover_letter,missing_resume_docx_or_pdf,missing_tailored_resume_html,remote_likelihood_below_threshold:45<50,unsupported_site_for_ci_submit).",https://www.modmed.com/careers/,remote,85,remote_keyword,manual,,,
Kalmus Labs,AI Engineer,Miami FL,$120k-$160k,Draft,,,,Initial,,,kalmus_custom,,local;ai;rag;miami,"RAG/AI tools; BookBuddy product
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submitted_resume_path,submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=0/70, remote=45/50; reasons=fit_score_below_threshold:0<70,missing_cover_letter,missing_resume_docx_or_pdf,missing_tailored_resume_html,remote_likelihood_below_threshold:45<50,unsupported_site_for_ci_submit).",https://wellfound.com/company/kalmus-labs,remote,85,remote_keyword,manual,,,
Safari AI,Software Engineer,Miami FL,$130k-$170k,Draft,,,,Initial,,,safari_custom,,local;ai;edge;miami,"Edge AI; General Catalyst backed
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submitted_resume_path,submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=0/70, remote=45/50; reasons=fit_score_below_threshold:0<70,missing_cover_letter,missing_resume_docx_or_pdf,missing_tailored_resume_html,remote_likelihood_below_threshold:45<50,unsupported_site_for_ci_submit).",https://wellfound.com/company/safari-ai,remote,85,remote_keyword,manual,,,
